sk_ramo_atividade,etl_versao,etl_dt_inicio,etl_dt_fim,nk_ramo_atividade,de_ramo_atividade,de_ramo_atividade_cnae,de_divisoes_cnae,cd_cnae
0,1,,,                                                               ,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,  
1,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0111301                                                        ,CRIACAO DE BOVINOS PARA CORTE                                                                                                                                                                                                                             ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
2,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0111302                                                        ,CRIACAO DE BOVINOS PARA CORTE                                                                                                                                                                                                                             ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
3,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0111303                                                        ,CULTIVO DE TRIGO                                                                                                                                                                                                                                          ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
4,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0111399                                                        ,CULTIVO DE MANDIOCA                                                                                                                                                                                                                                       ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
5,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0112101                                                        ,CRIACAO DE BOVINOS PARA CORTE                                                                                                                                                                                                                             ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
6,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0112199                                                        ,CULTIVO DE EUCALIPTO                                                                                                                                                                                                                                      ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
7,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0113000                                                        ,COLETA DE CASTANHADOPARA EM FLORESTAS NATIVAS                                                                                                                                                                                                             ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
8,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0115600                                                        ,CULTIVO DE SOJA                                                                                                                                                                                                                                           ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
9,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0116401                                                        ,CULTIVO DE SOJA                                                                                                                                                                                                                                           ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
10,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0116499                                                        ,CULTIVO DE OUTRAS FIBRAS DE LAVOURA TEMPORARIA NAO ESPECIFICADAS ANTERIORMENTE                                                                                                                                                                            ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
11,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0119904                                                        ,CRIACAO DE BOVINOS PARA CORTE                                                                                                                                                                                                                             ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
12,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0119905                                                        ,CULTIVO DE MILHO                                                                                                                                                                                                                                          ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
13,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0119906                                                        ,CULTIVO DE MANDIOCA                                                                                                                                                                                                                                       ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
14,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0119908                                                        ,CULTIVO DE OUTROS CEREAIS NAO ESPECIFICADOS ANTERIORMENTE                                                                                                                                                                                                 ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
15,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0119909                                                        ,CULTIVO DE TOMATE RASTEIRO                                                                                                                                                                                                                                ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
16,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0119999                                                        ,CULTIVO DE OUTRAS OLEAGINOSAS DE LAVOURA TEMPORARIA NAO ESPECIFICADAS ANTERIORMENTE                                                                                                                                                                       ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
17,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0121101                                                        ,"HORTICULTURA, EXCETO MORANGO                                                                                                                                                                                                                              ",PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
18,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0121102                                                        ,CULTIVO DE MORANGO                                                                                                                                                                                                                                        ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
19,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0122900                                                        ,ATIVIDADES PAISAGISTICAS                                                                                                                                                                                                                                  ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
20,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0131800                                                        ,CULTIVO DE LARANJA                                                                                                                                                                                                                                        ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
21,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0132600                                                        ,CULTIVO DE EUCALIPTO                                                                                                                                                                                                                                      ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
22,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0133402                                                        ,CULTIVO DE OUTRAS PLANTAS DE LAVOURA TEMPORARIA NAO ESPECIFICADAS ANTERIORMENTE                                                                                                                                                                           ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
23,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0133404                                                        ,CULTIVO DE CAFE                                                                                                                                                                                                                                           ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
24,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0133405                                                        ,CRIACAO DE BOVINOS PARA LEITE                                                                                                                                                                                                                             ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
25,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0133408                                                        ,CULTIVO DE MAMAO                                                                                                                                                                                                                                          ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
26,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0133409                                                        ,CULTIVO DE MARACUJA                                                                                                                                                                                                                                       ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
27,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0133410                                                        ,CULTIVO DE MANGA                                                                                                                                                                                                                                          ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
28,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0133499                                                        ,CULTIVO DE OUTRAS PLANTAS DE LAVOURA PERMANENTE NAO ESPECIFICADAS ANTERIORMENTE                                                                                                                                                                           ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
29,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0134200                                                        ,CULTIVO DE CAFE                                                                                                                                                                                                                                           ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
30,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0139306                                                        ,CULTIVO DE SERINGUEIRA                                                                                                                                                                                                                                    ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
31,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0139399                                                        ,"HORTICULTURA, EXCETO MORANGO                                                                                                                                                                                                                              ",PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
32,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0141501                                                        ,"PRODUCAO DE MUDAS E OUTRAS FORMAS DE PROPAGACAO VEGETAL, CERTIFICADAS                                                                                                                                                                                     ",PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
33,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0141502                                                        ,"COMERCIO ATACADISTA DE SEMENTES, FLORES, PLANTAS E GRAMAS                                                                                                                                                                                                 ",PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
34,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0142300                                                        ,COMERCIO VAREJISTA DE PLANTAS E FLORES NATURAIS                                                                                                                                                                                                           ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
35,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0151201                                                        ,CRIACAO DE BOVINOS PARA CORTE                                                                                                                                                                                                                             ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
36,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0151202                                                        ,CRIACAO DE BOVINOS PARA LEITE                                                                                                                                                                                                                             ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
37,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0151203                                                        ,CULTIVO DE FRUTAS DE LAVOURA PERMANENTE NAO ESPECIFICADAS ANTERIORMENTE                                                                                                                                                                                   ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
38,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0152101                                                        ,CULTIVO DE MILHO                                                                                                                                                                                                                                          ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
39,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0152102                                                        ,CRIACAO DE BUFALINOS                                                                                                                                                                                                                                      ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
40,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0152103                                                        ,ATIVIDADES DE APOIO A PECUARIA NAO ESPECIFICADAS ANTERIORMENTE                                                                                                                                                                                            ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
41,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0153902                                                        ,"CRIACAO DE OVINOS, INCLUSIVE PARA PRODUCAO DE LA                                                                                                                                                                                                          ",PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
42,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0154700                                                        ,CRIACAO DE SUINOS                                                                                                                                                                                                                                         ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
43,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0155501                                                        ,CRIACAO DE BOVINOS PARA CORTE                                                                                                                                                                                                                             ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
44,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0159801                                                        ,CULTIVO DE CANADEACUCAR                                                                                                                                                                                                                                   ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
45,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0159802                                                        ,CRIACAO DE ANIMAIS DE ESTIMACAO                                                                                                                                                                                                                           ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
46,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0161001                                                        ,ATIVIDADES DE APOIO A AGRICULTURA NAO ESPECIFICADAS ANTERIORMENTE                                                                                                                                                                                         ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
47,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0161003                                                        ,"SERVICO DE PREPARACAO DE TERRENO, CULTIVO E COLHEITA                                                                                                                                                                                                      ",PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
48,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0161099                                                        ,SERVICO DE PULVERIZACAO E CONTROLE DE PRAGAS AGRICOLAS                                                                                                                                                                                                    ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
49,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0162801                                                        ,ATIVIDADES VETERINARIAS                                                                                                                                                                                                                                   ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
50,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0162802                                                        ,COMERCIO VAREJISTA DE CARNES  ACOUGUES                                                                                                                                                                                                                    ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
51,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0162899                                                        ,ATIVIDADES DE APOIO A PECUARIA NAO ESPECIFICADAS ANTERIORMENTE                                                                                                                                                                                            ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
